code;id;name;mainRoute;routeIds
550957;MTA_550957;108 ST/69 RD;MTABC_Q64;['MTABC_Q64']
551810;MTA_551810;QUEENS BL/70 RD;MTABC_Q64;['MTABC_Q64']
551811;MTA_551811;JEWEL AV/108 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551812;MTA_551812;JEWEL AV/110 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551813;MTA_551813;JEWEL AV/112 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551816;MTA_551816;JEWEL AV/PARK DR E;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551817;MTA_551817;JEWEL AV/PARK DR E;MTABC_Q64;['MTABC_Q64']
551818;MTA_551818;JEWEL AV/136 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551819;MTA_551819;JEWEL AV/136 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551820;MTA_551820;JEWEL AV/138 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551821;MTA_551821;JEWEL AV/138 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551822;MTA_551822;JEWEL AV/140 ST;MTABC_Q64;['MTABC_Q64']
551823;MTA_551823;JEWEL AV/140 ST;MTABC_Q64;['MTABC_Q64']
551824;MTA_551824;JEWEL AV/MAIN ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551825;MTA_551825;JEWEL AV/MAIN ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551826;MTA_551826;JEWEL AV/147 ST;MTABC_Q64;['MTABC_Q64']
551827;MTA_551827;JEWEL AV/147 ST;MTABC_Q64;['MTABC_Q64']
551828;MTA_551828;JEWEL AV/150 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551829;MTA_551829;JEWEL AV/150 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551830;MTA_551830;JEWEL AV/152 ST;MTABC_Q64;['MTABC_Q64']
551831;MTA_551831;JEWEL AV/152 ST;MTABC_Q64;['MTABC_Q64']
551832;MTA_551832;JEWEL AV/KISSENA BL;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551833;MTA_551833;JEWEL AV/KISSENA BL;MTABC_Q64;['MTABC_Q64']
551834;MTA_551834;JEWEL AV/KISSENA BL;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551836;MTA_551836;PARSONS BL/JEWEL AV;MTABC_Q64;['MTABC_Q64']
551837;MTA_551837;PARSONS BL/71 AV;MTABC_Q64;['MTABC_Q64']
551838;MTA_551838;71 AV/162 ST;MTABC_Q64;['MTABC_Q64']
551839;MTA_551839;71 AV/164 ST;MTABC_Q64;['MTABC_Q64']
551840;MTA_551840;JEWEL AV/164 ST;MTABC_Q64;['MTABC_Q64']
551841;MTA_551841;JEWEL AV/161 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551843;MTA_551843;JEWEL AV/PARSONS BL;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551844;MTA_551844;JEWEL AV/PARSONS BL;MTABC_Q64;['MTABC_Q64']
551847;MTA_551847;69 RD/112 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
551848;MTA_551848;69 RD/110 ST;MTABC_Q64;['MTABC_Q64', 'MTABC_QM4', 'MTABC_QM44']
982087;MTA_982087;108 ST/QUEENS BL;MTABC_Q64;['MTABC_Q64']
982088;MTA_982088;JEWEL AV/164 ST;MTABC_Q64;['MTABC_Q64']
450338;MTA_450338;E 60 ST/2 AV;MTABC_Q60;['MTABC_Q60']
502490;MTA_502490;QUEENS BL/UNION TPK;MTABC_Q60;['MTABC_Q60', 'MTABC_QM18']
503293;MTA_503293;QUEENS BL/SKILLMAN AV;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
503295;MTA_503295;QUEENS BL/35 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
503296;MTA_503296;QUEENS BL/38 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
503298;MTA_503298;QUEENS BL/41 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
503299;MTA_503299;QUEENS BL/44 ST;MTABC_Q60;['MTA NYCT_Q32', 'MTABC_Q60']
503300;MTA_503300;QUEENS BL/46 ST;MTABC_Q60;['MTABC_Q60']
